facility_id,field,value,retrieved_date,note
IC-95860,existence_flag,not_ic,2026-09-24,Nordic Sauna LLC makes saunas; not industrialized construction (ADL review)
IC-70761,existence_flag,not_ic,2026-09-24,Out West Buildings LLC makes sheds; not industrialized construction (ADL review)
IC-94220,existence_flag,not_ic,2026-09-24,Kitchens To Go by Mobile Modular (Selma CA) is a modular showroom; not a factory (ADL review)
IC-10222,existence_flag,not_ic,2026-09-24,Weather King Portable Buildings of Arizona (Willcox AZ) makes sheds; not industrialized construction (ADL review)
IC-94077,lat_lon,"40.744778,-112.027769",2026-09-24,Advanced Modular Mfg: rooftop confirmed on satellite review (pin inside the 48477 sq ft Overture building) (ADL review)
IC-94077,sq_ft,48477,2026-09-24,Advanced Modular Mfg: plant size confirmed as the Overture building footprint under the rooftop pin (ADL review)
IC-16245,lat_lon,"34.841038,-114.600772",2026-09-24,Tri State Truss Corp: pin confirmed correct on satellite review (ADL review)
IC-95438,lat_lon,"32.16838,-110.905777",2026-09-24,Design Modulars: rooftop confirmed on satellite review; moved from street geocode onto the 16822 sq ft plant building 40 m away (ADL review)
IC-10193,lat_lon,"35.270933,-113.950464",2026-09-24,Valley Lumber & Truss: rooftop confirmed on satellite review; moved onto the 52778 sq ft plant building 56 m away (ADL review)
IC-13363,existence_flag,not_ic,2026-09-24,Cavcon Inc (Atwater CA): not industrialized construction (ADL review)
