control_id,name,city,state,reason,matched_facility,matched_state,found_address,source_url
ADL-002,Z Modular,Chandler,AZ,Steel Volumetric Modular,Z Modular LLC,,,
ADL-003,Modlogiq,New Holland,PA,Steel Volumetric Modular,MODLOGIQ,PA,,
ADL-007,Modern Living Solutions / Greystar,Knox,PA,Steel Volumetric Modular,Modern Living Solutions,PA,,
ADL-016,Biltwise,Greenwood,SC,Wood Volumetric Modular,BiltWise Structures LLC,,,
ADL-017,Signature Building Systems,Moosic,PA,Wood Volumetric Modular,Signature Building Systems,PA,,
ADL-020,Icon Legacy,Selinsgrove,PA,Wood Volumetric Modular,ICON LEGACY CUSTOM MODULAR HOMES,,,
ADL-021,Professional Building Systems,Middleburg,PA,Wood Volumetric Modular,Professional Building Systems of NC,,,
ADL-023,Apex Homes,Middleburg,PA,Wood Volumetric Modular,Apex Homes,PA,,
ADL-043,United Structures of Georgia,Cairo,GA,Open LGS Panel,United Structures Inc.,,,
ADL-065,Freres Engineered Wood,Lyons,OR,Mass Timber (CLT),Freres Engineered Wood,OR,,
ADL-071,SmartLam - AL,Dothan,AL,Mass Timber (CLT),SmartLam,AL,,
ADL-075,TimberLab - Middleburg,Millersburg,OR,Mass Timber (CLT),TimberLab,OR,,
ADL-076,TimberLab - Portland,Portland,OR,Mass Timber (CLT),TimberLab,OR,,
ADL-096,FOARD PANEL INC,WEST CHESTERFIELD,NH,SIP / ICF (Other Composite panel),"Foard Panel, Inc.",NH,,
ADL-196,The Truss Company,Sumner,WA,Wood Structural Components (trusses etc),THE TRUSS COMPANY,WA,,
ADL-200,ATCO Structures and Logistics (USA) Inc,,,,ATCO Structures and Logistics,,,
ADL-209,Falcon Structures,,,,Falcon Structures,,,
ADL-213,"Neopod Systems, LLC.",,,,Neopod Systems LLC,,,
